499 training documents
215 test documents
('anticholinergic', 'none', 'group')
('dizziness', 'none', 'group')
('protease inhibitor', 'group', 'none')
('Phenobarbital_Carbamazepine', 'none', 'drug')
('Phenobarbital', 'drug', 'none')
('Carbamazepine', 'drug', 'none')
('imidazole', 'none', 'drug')
('triazole', 'none', 'drug')
('antifungals', 'none', 'group')
('imidazole antifungals', 'group', 'none')
('triazole antifungals', 'group', 'none')
('Anti-HIV', 'none', 'group')
('Anti-HIV protease inhibitors', 'group', 'none')
('Non-nucleoside reverse transcriptase inhibitors', 'group', 'none')
('aluminum', 'none', 'drug')
('magnesium', 'none', 'drug')
('antacids', 'none', 'group')
('aluminum/magnesium hydroxide antacids', 'group', 'none')
('tricyclic', 'none', 'group')
('antidepressants', 'none', 'group')
('tricyclic antidepressants', 'group', 'none')
('antibiotics', 'none', 'group')
('macrolide antibiotics', 'group', 'none')
('antagonists', 'none', 'group')
('H 2 receptor antagonists', 'group', 'none')
('H 2 -receptor antagonists', 'group', 'none')
('anticoagulant', 'none', 'group')
('calcium', 'none', 'drug')
('calcium channel blockers', 'group', 'none')
('epirubicin', 'drug', 'none')
('epirubicin', 'drug', 'none')
('phenylbutazone', 'group', 'drug')
('thiazide', 'none', 'drug')
('diuretics', 'none', 'group')
('penicillin', 'none', 'drug')
('resin', 'group', 'none')
('thiazide diuretics', 'group', 'none')
('penicillin G', 'drug', 'none')
('phosphate', 'drug_n', 'drug')
('resin', 'group', 'none')
('resin', 'group', 'none')
('resin', 'group', 'none')
('vitamins', 'none', 'group')
('resin', 'group', 'none')
('fat soluble vitamins', 'group', 'none')
('vitamins', 'none', 'group')
('resin', 'group', 'none')
('fat-soluble vitamins', 'group', 'none')
('SINCE_CHOLESTYRAMINE_RESIN', 'none', 'brand')
('IT_IS_RECOMMENDED_THAT_PATIENTS_TAKE_OTHER_DRUGS_AT_LEAST', 'none', 'drug')
('HOUR_BEFORE_OR', 'none', 'brand')
('HOURS_AFTER_CHOLESTYRAMINE_RESIN', 'none', 'brand')
('OR_AT_AS_GREAT_AN_INTERVAL_AS_POSSIBLE', 'none', 'brand')
('TO_AVOID_IMPEDING_THEIR_ABSORPTION', 'none', 'brand')
('CHOLESTYRAMINE', 'drug', 'none')
('RESIN', 'group', 'none')
('CHOLESTYRAMINE', 'drug', 'none')
('RESIN', 'group', 'none')
('neuromuscular blocking agents', 'group', 'none')
('bacitracin', 'group', 'drug')
('sodium colistimethate', 'drug', 'none')
('nondepolarizing neuromuscular blocking agents', 'group', 'none')
('thioridizine', 'none', 'drug')
('medicine', 'none', 'drug')
('MAO inhibitors', 'group', 'none')
('medicine', 'none', 'drug')
('MAO inhibitors', 'group', 'none')
('MAO inhibitor', 'group', 'none')
('sertonin', 'none', 'drug')
('MAO inhibitors', 'group', 'none')
('MAO inhibitors', 'group', 'none')
('non-selective MAO inhibitor', 'group', 'none')
('MAO inhibitor', 'group', 'none')
('antidepressant', 'none', 'group')
('tricyclic antidepressant', 'group', 'none')
('serotonin', 'none', 'drug')
('Coumadin', 'brand', 'drug')
('Prozac', 'brand', 'drug')
('intraconazole', 'none', 'drug')
('blood thinner', 'group', 'none')
('muscle relaxants', 'group', 'none')
('MHD', 'drug_n', 'group')
('OXC', 'drug', 'drug_n')
('MHD', 'drug_n', 'group')
('OXC', 'drug', 'drug_n')
('MHD', 'drug_n', 'none')
('MHD', 'drug_n', 'none')
('MHD', 'drug_n', 'group')
('UDP-glucuronyl', 'none', 'drug')
('valproic acid', 'drug', 'none')
('dihydropyridine', 'none', 'drug')
('dihydropyridine calcium antagonists', 'group', 'none')
('MHD', 'drug_n', 'none')
('Antiepileptic', 'none', 'group')
('Antiepileptic drugs', 'group', 'none')
('AED', 'none', 'group')
('AED', 'group', 'none')
('AED', 'group', 'none')
('AED', 'group', 'none')
('MHD', 'drug_n', 'none')
('Valproic acid', 'drug', 'none')
('EE', 'none', 'drug_n')
('Trileptal', 'brand', 'none')
('EE', 'none', 'drug_n')
('LNG', 'none', 'drug')
('contraceptives', 'none', 'group')
('hormonal contraceptives', 'group', 'none')
('Calcium', 'none', 'drug')
('Antagonists', 'none', 'group')
('Calcium Antagonist', 'group', 'none')
('MHD', 'drug_n', 'group')
('MHD', 'drug_n', 'drug')
('angiotensin-converting enzyme inhibitor', 'group', 'none')
('potassium', 'none', 'drug')
('lithium', 'none', 'drug')
('diuretic', 'none', 'group')
('natriuretic', 'none', 'group')
('loop', 'none', 'group')
('diuretics', 'none', 'group')
('non-steroidal anti-inflammatory agent', 'group', 'none')
('loop diuretics', 'group', 'none')
('potassium-sparing diuretics', 'group', 'none')
('thiazide diuretics', 'group', 'none')
('non-steroidal anti-inflammatory agents', 'group', 'none')
('diuretics', 'none', 'group')
('potassium', 'none', 'drug')
('potassium', 'none', 'drug')
('potassium-sparing diuretics', 'group', 'none')
('Ethanol', 'drug', 'none')
('Sonata', 'brand', 'none')
('zaleplon', 'drug', 'none')
('zaleplon', 'drug', 'none')
('hypnotic agent', 'group', 'none')
('desethylzaleplon', 'none', 'drug')
('glucuronide', 'none', 'drug')
('zaleplon', 'drug', 'none')
('5-oxo-desethylzaleplon', 'drug_n', 'none')
('5-oxo-desethylzaleplon glucuronide', 'drug_n', 'none')
('zaleplon', 'drug', 'none')
('zaleplon', 'drug', 'none')
('aldehyde', 'none', 'drug')
('aldehyde', 'none', 'drug')
('aldehyde', 'none', 'drug')
('CYP3A4', 'none', 'drug')
('Zaleplon', 'drug', 'none')
('Digoxin', 'drug', 'none')
('Ibuprofen', 'drug', 'none')
('zaleplon', 'drug', 'none')
('calcium', 'drug', 'none')
('calcium', 'drug', 'none')
('calcium', 'none', 'drug')
('digitalis', 'none', 'group')
('glycosides', 'none', 'group')
('calcium acetate', 'drug', 'none')
('digitalis glycosides', 'group', 'none')
('calcium', 'drug', 'none')
('antituberculous drugs', 'group', 'none')
('convulsions', 'none', 'group')
('Macrolides', 'group', 'drug')
('Erythromycin', 'drug', 'none')
('colestipol', 'none', 'drug')
('hydrochloride', 'none', 'drug')
('colestipol hydrochloride', 'drug', 'none')
('anion exchange resin', 'group', 'none')
('colestipol', 'none', 'drug')
('hydrochloride', 'none', 'drug')
('colestipol hydrochloride', 'drug', 'none')
('COLESTlD', 'brand', 'none')
('COLESTID', 'brand', 'none')
('COLESTID', 'brand', 'none')
('colestipol', 'none', 'drug')
('hydrochloride', 'none', 'drug')
('colestipol hydrochloride', 'drug', 'none')
('colestipol', 'none', 'drug')
('hydrochloride', 'none', 'drug')
('colestipol hydrochloride', 'drug', 'none')
('COLESTID', 'brand', 'none')
('colestipol', 'none', 'drug')
('hydrochloride', 'none', 'drug')
('colestipol hydrochloride', 'drug', 'none')
('penicillin', 'none', 'drug')
('colestipol', 'none', 'drug')
('hydrochloride', 'none', 'drug')
('penicillin G', 'drug', 'none')
('colestipol hydrochloride', 'drug', 'none')
('colestipol', 'none', 'drug')
('hydrochloride', 'none', 'drug')
('colestipol hydrochloride', 'drug', 'none')
('colestipol', 'none', 'drug')
('hydrochloride', 'none', 'drug')
('clindamycin', 'brand', 'drug')
('colestipol hydrochloride', 'drug', 'none')
('nicotinic acid', 'drug', 'none')
('digitalis', 'none', 'group')
('colestipol', 'none', 'drug')
('hydrochloride', 'none', 'drug')
('digitalis preparations', 'group', 'none')
('colestipol hydrochloride', 'drug', 'none')
('colestipol', 'none', 'drug')
('hydrochloride', 'none', 'drug')
('colestipol', 'none', 'drug')
('hydrochloride', 'none', 'drug')
('colestipol hydrochloride', 'drug', 'none')
('resin', 'group', 'none')
('colestipol hydrochloride', 'drug', 'none')
('resins', 'none', 'group')
('Bile acid binding resins', 'group', 'none')
('EULEXIN', 'brand', 'none')
('Allium', 'none', 'drug')
('EPA', 'drug', 'none')
('non-steroidal anti-inflammatory drugs', 'group', 'none')
('ginkgo', 'drug', 'none')
('Ginkgo biloba', 'drug', 'none')
('EPA', 'drug', 'none')
('EPA', 'drug', 'none')
('glucose', 'none', 'drug')
('EPA', 'drug', 'none')
('EPA', 'drug', 'none')
('glucose', 'none', 'drug')
('insulin', 'none', 'drug')
('insulin', 'none', 'drug')
('EPA', 'drug', 'none')
('Diabetics', 'none', 'group')
('Diabetics', 'none', 'group')
('EPA', 'drug', 'none')
('Vitamin', 'none', 'drug')
('Nicotinic', 'none', 'group')
('Vitamin B3', 'drug', 'none')
('Nicotinic acid', 'drug', 'none')
('ganglionic blocking agents', 'group', 'none')
('nicotinic acid', 'drug', 'none')
('DISULFIRAM_SHOULD_BE_USED_WITH_CAUTION_IN_THOSE_PATIENTS_REVEIVING_PHENYTOIN_AND_ITS_CONGENERS', 'none', 'drug')
('DISULFIRAM', 'drug', 'none')
('PHENYTOIN', 'drug', 'none')
('SINCE_THE_CONCOMITANT_ADMINISTRATION_OF_THESE', 'none', 'brand')
('PRIOR_TO_ADMINISTERING_DISULFIRAM_TO_A_PATIENT_ON_PHENYTOIN_THERAPY', 'none', 'drug')
('PHENYTOIN', 'drug', 'none')
('DISULFIRAM', 'drug', 'none')
('PHENYTOIN', 'drug', 'none')
('PHENYTOIN', 'drug', 'none')
('DISULFIRAM', 'drug', 'none')
('SERUM_LEVELS_OF_PHENYTOIN_SHOULD_BE_DETERMINED_ON_DIFFERENT_DAYS_FOR_EVIDENCE_OF_AN_INCREASE_OR_FOR_A_CONTINUING_RISE_IN_LEVELS', 'none', 'drug')
('PHENYTOIN', 'drug', 'none')
('INCREASED_PHENYTOIN_LEVELS_SHOULD_BE_TREATED_WITH_APPROPRIATE_DOSAGE_ADJUSTMENT', 'none', 'drug')
('PHENYTOIN', 'drug', 'none')
('nitrosamine', 'none', 'drug')
('nitrites', 'group', 'none')
('Blockers', 'none', 'group')
('H2 Blockers', 'group', 'none')
('Ibandronate', 'drug', 'none')
('H2 blockers', 'group', 'none')
('Nonsteroidal_Antiinflammatory_Drugs', 'none', 'group')
('Nonsteroidal Antiinflammatory Drug', 'group', 'none')
('nonsteroidal anti-inflammatory drugs', 'group', 'none')
('nonsteroidal anti-inflammatory drugs', 'group', 'none')
('bisphosphonates', 'group', 'none')
('Bisphosphonates', 'group', 'none')
('anticoagulahts', 'none', 'group')
('Carcinogenesis', 'none', 'group')
('Mutagenesis', 'none', 'group')
('cynomolgus', 'none', 'drug')
('LCV', 'none', 'drug_n')
('immunosuppressive', 'group', 'none')
('1-866-AMEVIVE', 'none', 'drug_n')
('AMEVIVE', 'brand', 'none')
('AMEVIVE', 'brand', 'none')
('cynomolgus', 'none', 'drug')
('cynomolgus', 'none', 'drug')
('Kerlone', 'brand', 'drug')
('Kerlone', 'brand', 'drug')
('anticoagulant', 'none', 'group')
('beta-blocking', 'drug', 'none')
('beta-adrenergic receptor blocking agent', 'group', 'none')
('calcium antagonists', 'group', 'none')
('beta-adrenergic blocking agents', 'group', 'none')
('beta-adrenergic blocking agents', 'group', 'none')
('calcium antagonist', 'group', 'none')
('dihydropyridine', 'none', 'drug')
('calcium antagonist', 'group', 'none')
('dihydropyridine derivative', 'group', 'none')
('diagnostic', 'none', 'group')
('antiemetics', 'none', 'group')
('5-HT3 antiemetics', 'group', 'none')
('glutathione', 'none', 'drug')
('glutathione', 'none', 'drug')
('busulfan', 'drug', 'none')
('norbuprenorphine', 'drug_n', 'drug')
('azole', 'none', 'drug')
('antifungals', 'none', 'group')
('azole antifungals', 'group', 'none')
('antibiotics', 'none', 'group')
('macrolide antibiotics', 'group', 'none')
('HIV protease inhibitors', 'group', 'none')
('benzodiazepines', 'drug', 'group')
('VIDEX', 'brand', 'none')
('VIDEX_Chewable', 'none', 'brand')
('VIDEX', 'brand', 'none')
('Quinolone', 'none', 'group')
('Antibiotics', 'none', 'group')
('Quinolone Antibiotic', 'group', 'none')
('didanosine', 'drug', 'none')
('didanosine', 'drug', 'none')
('quinolone', 'none', 'drug')
('antibiotics', 'none', 'group')
('quinolone antibiotics', 'group', 'none')
('quinolone', 'group', 'drug')
('Other_Antiretroviral_Drugs', 'none', 'group')
('Antiretroviral Drugs', 'group', 'none')
('thrombocytopenia', 'none', 'drug')
('silver', 'drug', 'none')
('lactulose', 'drug', 'none')
('fenoprofen', 'none', 'drug')
('hydroxylated fenoprofen', 'drug_n', 'none')
('albumin', 'none', 'drug')
('Nalfon', 'brand', 'drug')
('Nalfon', 'brand', 'drug')
('Nalfon', 'brand', 'drug')
('Nalfon', 'brand', 'drug')
('albumin', 'none', 'drug')
('anticoagulants', 'none', 'group')
('Nalfon', 'brand', 'drug')
('coumarin-type anticoagulants', 'group', 'none')
('diuretics', 'none', 'group')
('loop diuretics', 'group', 'none')
('Nalfon', 'brand', 'drug')
('Antagonists', 'none', 'group')
('5HT3 Antagonists', 'group', 'none')
('5HT3 antagonist class', 'group', 'none')
('Antihypertensive', 'none', 'group')
('antihypertensive', 'none', 'group')
('Antihypertensive Medication', 'group', 'none')
('antihypertensive medications', 'group', 'none')
('Dopamine', 'none', 'drug')
('Antagonists', 'none', 'group')
('dopamine', 'none', 'drug')
('dopamine', 'none', 'drug')
('antagonists', 'none', 'group')
('Dopamine Antagonists', 'group', 'none')
('dopamine agonist', 'group', 'none')
('dopamine antagonists', 'group', 'none')
('dopamine', 'none', 'drug')
('dopamine agonists', 'group', 'none')
('CNS depressants', 'group', 'none')
('anticholinergic', 'none', 'group')
('anticholinergic', 'none', 'group')
('anticholinergic drugs', 'group', 'none')
('vasoconstrictor drugs', 'group', 'none')
('amphotericin', 'none', 'drug')
('amphotericin B', 'drug', 'none')
('amphotericin', 'none', 'drug')
('amphotericin B', 'drug', 'none')
('Macrolide', 'none', 'drug')
('antibiotics', 'none', 'group')
('Macrolide antibiotics', 'group', 'none')
('anticholinesterase', 'none', 'group')
('anticholinesterase agents', 'group', 'none')
('anticholinesterase agents', 'group', 'none')
('anticoagulant', 'none', 'group')
('glucose', 'none', 'drug')
('antidiabetic', 'none', 'group')
('antidiabetic agents', 'group', 'none')
('Convulsions', 'none', 'group')
('Dexamethasone', 'none', 'drug')
('dexamethasone', 'none', 'drug')
('Digitalis', 'none', 'group')
('glycosides', 'none', 'group')
('digitalis', 'none', 'group')
('glycosides', 'none', 'group')
('Digitalis glycosides', 'group', 'none')
('digitalis glycosides', 'group', 'none')
('Inhibitors', 'none', 'group')
('antibiotics', 'none', 'group')
('macrolide antibiotics', 'group', 'none')
('corticosteroid', 'drug', 'group')
('corticosteroid', 'none', 'group')
('Nonsteroidal anti-inflammatory agents', 'group', 'none')
('nonsteroidal antiinflammatory agents', 'group', 'none')
('tests', 'none', 'group')
('vaccines', 'none', 'group')
('live vaccines', 'group', 'none')
('inactivated vaccines', 'group', 'none')
('vaccines', 'none', 'group')
('live attenuated vaccines', 'group', 'none')
('toxoids', 'none', 'group')
('Anafranil', 'brand', 'drug')
('Anafranil', 'brand', 'drug')
('Anafranil', 'brand', 'drug')
('MAO inhibitors', 'group', 'none')
('sympathomimetic drugs', 'group', 'none')
('antidepressants', 'none', 'group')
('antidepressants', 'none', 'group')
('tricyclic antidepressants', 'group', 'none')
('CMI', 'drug', 'none')
('tricyclic antidepressants', 'group', 'none')
('CMI', 'drug', 'drug_n')
('antidepressants', 'none', 'group')
('tricyclic antidepressants', 'group', 'none')
('CMI', 'drug', 'none')
('CMI', 'drug', 'drug_n')
('debrisoquin', 'none', 'drug')
('antidepressants', 'none', 'group')
('tricyclic antidepressants', 'group', 'none')
('TCA', 'group', 'none')
('TCA', 'group', 'none')
('antiarrhythmics', 'none', 'group')
('Type 1C antiarrhythmics', 'group', 'none')
('selective serotonin reuptake inhibitors', 'group', 'none')
('TCA', 'group', 'none')
('SSRI', 'group', 'none')
('TCA', 'group', 'none')
('TCA', 'group', 'none')
('antidepressant', 'none', 'group')
('antidepressant', 'none', 'group')
('tricyclic antidepressant class', 'group', 'none')
('tricyclic antidepressant agent', 'group', 'none')
('antidepressant', 'none', 'group')
('tricyclic antidepressant agent', 'group', 'none')
('antidepressant', 'none', 'group')
('Anafranil', 'brand', 'drug')
('TCA', 'group', 'none')
('tricyclic antidepressant class', 'group', 'none')
('Anafranil', 'brand', 'drug')
('Anafranil', 'brand', 'drug')
('protein', 'none', 'drug')
('Anafranil', 'brand', 'drug')
('NIZORAL', 'brand', 'none')
('NIZORAL', 'brand', 'none')
('NIZORAL', 'brand', 'none')
('NIZORAL', 'brand', 'none')
('hypnotic', 'none', 'group')
('NIZORAL', 'brand', 'none')
('imidazole', 'none', 'drug')
('anticoagulant', 'none', 'group')
('imidazole compounds', 'group', 'none')
('coumarin', 'group', 'none')
('imidazole', 'none', 'drug')
('anticoagulant', 'none', 'group')
('imidazole drugs', 'group', 'none')
('coumarin drugs', 'group', 'none')
('imidazole', 'group', 'drug')
('hypoglycemic', 'none', 'group')
('imidazole', 'group', 'drug')
('hypoglycemic agents', 'group', 'none')
('descarboethoxyloratadine', 'drug_n', 'drug')
('Indocyanine', 'none', 'drug')
('Indocyanine green', 'drug_n', 'none')
('medroxyprogesterone', 'none', 'drug')
('medroxyprogesterone acetate', 'drug', 'none')
('histamine', 'none', 'drug')
('H1 Blockers', 'group', 'none')
('H2 Blockers', 'group', 'none')
('H1 blockers', 'group', 'none')
('H2 blockers', 'group', 'none')
('rauwolfia alkaloid', 'group', 'none')
('MAO inhibitors', 'group', 'none')
('anticonvulsant', 'none', 'group')
('carbonic anhydrase inhibitors', 'group', 'none')
('folic acid antagonists', 'group', 'none')
('glucose', 'none', 'drug')
('antidiabetic', 'drug', 'none')
('sodium bicarbonate', 'drug', 'none')
('calcium', 'none', 'drug')
('zinc', 'none', 'drug')
('insulin', 'none', 'drug')
('edetate calcium disodium', 'drug', 'none')
('Edetate calcium disodium', 'drug', 'none')
('zinc insulin', 'drug', 'none')
('b-lactams', 'group', 'none')
('glucose', 'none', 'drug')
('Lamprene', 'brand', 'drug')
('tetracycline', 'none', 'group')
('tetracycline class', 'group', 'none')
('coagulant', 'none', 'group')
('VII-X', 'none', 'brand')
('fibrinogen', 'none', 'drug')
('fibrinogen', 'none', 'drug')
('globulin', 'none', 'drug')
('iodine', 'none', 'drug')
('T4', 'none', 'drug')
('thyroid hormone', 'group', 'none')
('corticosteroid', 'none', 'group')
('CBG', 'none', 'brand')
('globulin', 'none', 'drug')
('SHBG', 'none', 'brand')
('steroids', 'none', 'group')
('sex steroids', 'group', 'none')
('angiotensinogen', 'none', 'group')
('alpha-1-antitrypsin', 'none', 'drug')
('cholesterol', 'none', 'drug')
('triglyceride', 'none', 'drug')
('glucose', 'none', 'drug')
('metyrapone', 'none', 'drug')
('antidepressants', 'none', 'group')
('tricyclic antidepressants', 'group', 'none')
('nortriptyline', 'drug_n', 'drug')
('CYP3A4', 'none', 'drug')
('Sensipar', 'brand', 'none')
('PTH', 'none', 'drug')
('calcium', 'none', 'drug')
('DOSAGE_AND_ADMINISTRATION', 'none', 'brand')
('PTCA', 'none', 'group')
('PCI', 'none', 'group')
('glycoprotein', 'none', 'drug')
('antibodies', 'none', 'group')
('bivalirudin', 'drug', 'none')
('PROSTIN', 'none', 'brand')
('PROSTIN E2', 'brand', 'none')
('oxytocic drugs', 'group', 'none')
('oxytocic agents', 'group', 'none')
('anticholinergic', 'none', 'group')
('tricyclic', 'none', 'group')
('antidepressants', 'none', 'group')
('anticholinergic drugs', 'group', 'none')
('tricyclic antidepressants', 'group', 'none')
('antiparkinsonian agents', 'group', 'none')
('nicardipine', 'none', 'drug')
('adrenergic beta-receptor blockers', 'group', 'none')
('nicardipine HCl', 'drug', 'none')
('nicardipine', 'none', 'drug')
('nicardipine HCl', 'drug', 'none')
('digitalis', 'none', 'group')
('calcium blockers', 'group', 'none')
('digitalis preparations', 'group', 'none')
('nicardipine', 'none', 'drug')
('nicardipine HCl', 'drug', 'none')
('nicardipine', 'none', 'drug')
('Maalox TC', 'brand', 'none')
('nicardipine HCl', 'drug', 'none')
('nicardipine', 'none', 'drug')
('fluids', 'none', 'group')
('nicardipine HCl', 'drug', 'none')
('nicardipine', 'none', 'drug')
('nicardipine HCl', 'drug', 'none')
('anticholinergic', 'none', 'group')
('anticholinergic drugs', 'group', 'none')
('anticholinergic', 'none', 'group')
('anticholinergic drugs', 'group', 'none')
('antidepressants', 'none', 'group')
('catecholamines', 'none', 'group')
('decongestants', 'group', 'none')
('sympathomimetic amine', 'group', 'none')
('tricyclic antidepressants', 'group', 'none')
('imipramine', 'none', 'drug')
('hydrochloride', 'none', 'drug')
('imipramine hydrochloride', 'drug', 'none')
('Imipramine', 'none', 'drug')
('hydrochloride', 'none', 'drug')
('Imipramine hydrochloride', 'drug', 'none')
('CNS depressant drugs', 'group', 'none')
('debrisoquin', 'none', 'drug')
('antidepressants', 'none', 'group')
('tricyclic antidepressants', 'group', 'none')
('TCA', 'group', 'none')
('antiarrhythmics', 'none', 'group')
('Type 1C antiarrhythmics', 'group', 'none')
('selective serotonin reuptake inhibitors', 'group', 'none')
('SSRI', 'group', 'none')
('TCA', 'group', 'none')
('TCA5', 'none', 'group')
('antidepressants', 'none', 'group')
('antidepressant', 'none', 'group')
('tricyclic antidepressants', 'group', 'none')
('tricyclic antidepressant', 'group', 'none')
('tricyclic', 'none', 'group')
('antidepressant', 'none', 'group')
('tricyclic antidepressant', 'group', 'none')
('fibrinogen', 'none', 'drug')
('EACA', 'drug', 'none')
('neutropenia', 'none', 'drug')
('interleukin-1 antagonist', 'group', 'none')
('TNFa-blocking agents', 'group', 'none')
('nonsteroidal anti-inflammatory agents', 'group', 'none')
('folic acid', 'drug', 'none')
('6-MP/AZA', 'none', 'drug_n')
('aminosalicylates', 'none', 'group')
('6-MP', 'drug', 'none')
('AZA', 'drug', 'none')
('nonsteroidal anti-inflammatory agents', 'group', 'none')
('folic acid', 'drug', 'none')
('aminosalicylates', 'none', 'group')
('anticholinergic', 'none', 'group')
('anticholinergic drugs', 'group', 'none')
('antiarrhythmic agents', 'group', 'none')
('antipsychotic agents', 'group', 'none')
('inhibitors', 'none', 'group')
('narcotic', 'none', 'group')
('analgesics', 'none', 'group')
('sympathomimetic', 'none', 'group')
('tricyclic', 'none', 'group')
('antidepressants', 'none', 'group')
('anticholinergic', 'none', 'group')
('MAO inhibitors', 'group', 'none')
('narcotic analgesics', 'group', 'none')
('sympathomimetic agents', 'group', 'none')
('tricyclic antidepressants', 'group', 'none')
('antiglaucoma agents', 'group', 'none')
('Anticholinergic', 'none', 'group')
('costeroids', 'none', 'group')
('Anticholinergic drugs', 'group', 'none')
('Anticholinergic', 'none', 'group')
('Anticholinergic agents', 'group', 'none')
('Anticholinergic', 'none', 'group')
('Anticholinergic drugs', 'group', 'none')
('anticholinergic', 'none', 'group')
('anticholinergic agents', 'group', 'none')
('anticholinergic', 'none', 'group')
('anticholinergic drugs', 'group', 'none')
('aminoglycoside', 'none', 'group')
('antibiotics', 'none', 'group')
('aminoglycoside antibiotics', 'group', 'none')
('glucose', 'none', 'drug')
('glucose', 'none', 'drug')
('histamine H2-receptor antagonists', 'group', 'none')
('IRESSA', 'brand', 'none')
('heparin', 'drug', 'none')
('anticoagulant', 'none', 'group')
('anticoagulant agents', 'group', 'none')
('Thrombolytic agents', 'group', 'none')
('thrombolytic agents', 'group', 'none')
('antiplatelet agents', 'group', 'none')
('Chloromycetin', 'brand', 'drug')
('PABA', 'drug_n', 'group')
('thiazide', 'none', 'group')
('diuretics', 'none', 'group')
('para-aminobenzoic acid', 'drug_n', 'none')
('thiazide diuretics', 'group', 'none')
('tenofovir', 'none', 'drug')
('disoproxil', 'none', 'drug')
('tenofovir disoproxil fumarate', 'drug', 'none')
('diuretic', 'none', 'group')
('Nonsteroidal anti-inflammatory drugs', 'group', 'none')
('prostacyclin', 'none', 'drug')
('nonsteroial anti-inflammatory drugs', 'group', 'none')
('cyclosporine', 'drug', 'none')
('Nonsteroidal Anti-Inflammatory Drugs', 'group', 'none')
('sulindac', 'none', 'drug')
('salicylate', 'none', 'group')
('TABLE', 'none', 'brand')
('TABLE', 'none', 'brand')
('Descarboethoxyloratadine_After', 'none', 'drug')
('Descarboethoxyloratadine', 'drug', 'none')
('Loratadine_Descarboethoxyloratadine', 'none', 'drug')
('Loratadine', 'drug', 'none')
('Descarboethoxyloratadine', 'drug', 'none')
('antihypertensive', 'none', 'group')
('antihypertensive medications', 'group', 'none')
('debrisoquin', 'none', 'drug')
('antidepressants', 'none', 'group')
('tricyclic antidepressants', 'group', 'none')
('TCA', 'group', 'none')
('antiarrhythmics', 'none', 'group')
('Type 1C antiarrhythmics', 'group', 'none')
('serotonin reuptake inhibitors', 'group', 'none')
('SSRI', 'group', 'none')
('TCA', 'group', 'none')
('antidepressants', 'none', 'group')
('antidepressant', 'none', 'group')
('tricyclic antidepressants', 'group', 'none')
('tricyclic antidepressant', 'group', 'none')
('tricyclic', 'none', 'group')
('antidepressant', 'none', 'group')
('tricyclic antidepressant', 'drug', 'none')
('Monoamine_Oxidase_Inhibitors', 'drug', 'group')
('thyroid', 'drug', 'none')
('barbiturates', 'drug', 'group')
('CNS depressants', 'drug', 'none')
('amitriptyline', 'none', 'drug')
('anticholinergic', 'drug', 'group')
('sympathomimetic', 'drug', 'group')
('anesthetics', 'drug', 'group')
('amitriptyline HCl', 'drug', 'none')
('amitriptyline', 'none', 'drug')
('anticholinergic', 'drug', 'group')
('neuroleptic', 'drug', 'group')
('amitriptyline HCl', 'drug', 'none')
('tricyclic', 'none', 'group')
('antidepressants', 'none', 'group')
('tricyclic antidepressants', 'drug', 'none')
('anticholinergic', 'drug', 'none')
('antidepressants', 'none', 'group')
('tricyclic antidepressants', 'drug', 'none')
('drugs', 'drug', 'none')
('antidepressants', 'none', 'group')
('tricyclic antidepressants', 'drug', 'none')
('antidepressants', 'none', 'group')
('anticholinergic', 'drug', 'group')
('tricyclic antidepressants', 'drug', 'none')
('drug', 'drug', 'none')
('tricyclic', 'none', 'group')
('antidepressants', 'none', 'group')
('antidepressants', 'drug', 'group')
('tricyclic antidepressants', 'drug', 'none')
('delirium', 'none', 'drug')
('amitriptyline', 'none', 'drug')
('amitriptyline HCl', 'drug', 'none')
('Geocillin', 'brand', 'drug')
('carbenicillin', 'none', 'drug')
('carbenicillin indanyl sodium', 'drug', 'none')
('glucose', 'none', 'drug')
('copper sulfate', 'drug_n', 'none')
('MAO inhibitors', 'group', 'none')
('tricyclic', 'none', 'group')
('antidepressants', 'none', 'group')
('tricyclic antidepressants', 'group', 'none')
('central nervous system depressants', 'group', 'none')
('sympathomimetic', 'none', 'group')
('sympathomimetic drugs', 'group', 'none')
('monoamine oxidase inhibitors', 'group', 'none')
('veratrum alkaloids', 'drug', 'none')
('Beta-adrenergic', 'none', 'group')
('Beta-adrenergic blocking agents', 'group', 'none')
('kaolin', 'drug', 'none')
('dopamine', 'none', 'drug')
('dopamine', 'none', 'drug')
('MAO inhibitors', 'group', 'none')
('dopamine HCl', 'drug', 'none')
('dopamine HCl', 'drug', 'none')
('dopamine', 'none', 'drug')
('diuretic', 'none', 'group')
('dopamine HCl', 'drug', 'none')
('diuretic agents', 'group', 'none')
('Tricyclic', 'none', 'group')
('antidepressants', 'none', 'group')
('Tricyclic antidepressants', 'group', 'none')
('beta-adrenergic blocking agents', 'group', 'none')
('dopamine', 'none', 'drug')
('dopamine HCl', 'drug', 'none')
('alpha-adrenergic blocking agents', 'group', 'none')
('Dopamine', 'drug', 'none')
('alpha-adrenergic blocking agents', 'group', 'none')
('beta-adrenergic blocking agents', 'drug', 'none')
('dopamine', 'none', 'drug')
('dopamine', 'drug', 'none')
('anesthetics', 'none', 'group')
('halogenated hydrocarbon anesthetics', 'group', 'none')
('EXTREME_CAUTION', 'none', 'brand')
('dopamine', 'none', 'drug')
('anesthetics', 'none', 'group')
('dopamine HCl', 'drug', 'none')
('halogenated hydrocarbon anesthetics', 'group', 'none')
